Rank,Pokemon,Usage%,Raw,%,Real,%
266,Castform,0.05592%,48,0.056%,34,0.050%
267,Ninjask,0.05476%,47,0.055%,38,0.056%
268,Banette,0.05359%,46,0.054%,35,0.051%
269,Regice,0.05126%,44,0.051%,34,0.050%
270,Haunter,0.05126%,44,0.051%,33,0.049%
271,Clamperl,0.05126%,44,0.051%,34,0.050%
272,Sudowoodo,0.05010%,43,0.050%,38,0.056%
273,Mightyena,0.04893%,42,0.049%,30,0.044%
274,Simisage,0.04777%,41,0.048%,33,0.049%
275,Camerupt,0.04660%,40,0.047%,31,0.046%
276,Golduck,0.04660%,40,0.047%,36,0.053%
277,Scraggy,0.04427%,38,0.044%,38,0.056%
278,Ampharos,0.04311%,37,0.043%,30,0.044%
279,Magcargo,0.04194%,36,0.042%,24,0.035%
280,Seviper,0.04078%,35,0.041%,24,0.035%
281,Stunfisk,0.04078%,35,0.041%,30,0.044%
282,Jynx,0.03961%,34,0.040%,29,0.043%
283,Hypno,0.03845%,33,0.038%,27,0.040%
284,Vileplume,0.03728%,32,0.037%,24,0.035%
285,Gible,0.03728%,32,0.037%,27,0.040%
286,Zangoose,0.03728%,32,0.037%,29,0.043%
287,Mesprit,0.03612%,31,0.036%,24,0.035%
288,Beautifly,0.03379%,29,0.034%,21,0.031%
289,Duosion,0.03379%,29,0.034%,23,0.034%
290,Pignite,0.03262%,28,0.033%,26,0.038%
291,Mantine,0.03262%,28,0.033%,26,0.038%
292,Raticate,0.03262%,28,0.033%,21,0.031%
293,Roselia,0.03146%,27,0.031%,18,0.026%
294,Basculin,0.03146%,27,0.031%,22,0.032%
295,Kangaskhan,0.03146%,27,0.031%,17,0.025%
296,Beedrill,0.03146%,27,0.031%,23,0.034%
297,Glalie,0.03146%,27,0.031%,24,0.035%
298,Rattata,0.03029%,26,0.030%,25,0.037%
299,Primeape,0.03029%,26,0.030%,24,0.035%
300,Jumpluff,0.03029%,26,0.030%,14,0.021%
301,Machoke,0.03029%,26,0.030%,19,0.028%
302,Onix,0.02913%,25,0.029%,24,0.035%
303,Butterfree,0.02913%,25,0.029%,23,0.034%
304,Simisear,0.02796%,24,0.028%,20,0.029%
305,Qwilfish,0.02796%,24,0.028%,22,0.032%
306,Magmar,0.02796%,24,0.028%,22,0.032%
307,Octillery,0.02796%,24,0.028%,16,0.024%
308,Foongus,0.02796%,24,0.028%,18,0.026%
309,Gligar,0.02680%,23,0.027%,20,0.029%
310,Roggenrola,0.02563%,22,0.026%,22,0.032%
311,Seaking,0.02563%,22,0.026%,14,0.021%
312,Drowzee,0.02447%,21,0.024%,16,0.024%
313,Pinsir,0.02447%,21,0.024%,19,0.028%
314,Victreebel,0.02330%,20,0.023%,17,0.025%
315,Wobbuffet,0.02330%,20,0.023%,16,0.024%
316,Granbull,0.02330%,20,0.023%,16,0.024%
317,Maractus,0.02330%,20,0.023%,16,0.024%
318,Delcatty,0.02330%,20,0.023%,17,0.025%
319,Combusken,0.02214%,19,0.022%,13,0.019%
320,Cottonee,0.02214%,19,0.022%,13,0.019%
321,Girafarig,0.02097%,18,0.021%,11,0.016%
322,Misdreavus,0.02097%,18,0.021%,18,0.026%
323,Mawile,0.01981%,17,0.020%,14,0.021%
324,Boldore,0.01981%,17,0.020%,17,0.025%
325,Masquerain,0.01981%,17,0.020%,13,0.019%
326,Swalot,0.01981%,17,0.020%,16,0.024%
327,Linoone,0.01981%,17,0.020%,15,0.022%
328,Dragonair,0.01981%,17,0.020%,13,0.019%
329,Chatot,0.01864%,16,0.019%,14,0.021%
330,Chimecho,0.01864%,16,0.019%,15,0.022%
331,Dewgong,0.01748%,15,0.017%,8,0.012%
332,Huntail,0.01748%,15,0.017%,14,0.021%
333,Wooper,0.01748%,15,0.017%,12,0.018%
334,Noctowl,0.01748%,15,0.017%,12,0.018%
335,Sneasel,0.01748%,15,0.017%,14,0.021%
336,Palpitoad,0.01631%,14,0.016%,14,0.021%
337,Wigglytuff,0.01631%,14,0.016%,11,0.016%
338,Stantler,0.01631%,14,0.016%,14,0.021%
339,Volbeat,0.01631%,14,0.016%,11,0.016%
340,Kadabra,0.01515%,13,0.015%,12,0.018%
341,Sunflora,0.01515%,13,0.015%,10,0.015%
342,Mantyke,0.01515%,13,0.015%,11,0.016%
343,Snivy,0.01515%,13,0.015%,13,0.019%
344,Ferroseed,0.01515%,13,0.015%,12,0.018%
345,Lunatone,0.01398%,12,0.014%,8,0.012%
346,Relicanth,0.01398%,12,0.014%,8,0.012%
347,Meditite,0.01398%,12,0.014%,10,0.015%
348,Baltoy,0.01398%,12,0.014%,12,0.018%
349,Frillish,0.01398%,12,0.014%,10,0.015%
350,Golbat,0.01398%,12,0.014%,8,0.012%
351,Wartortle,0.01398%,12,0.014%,7,0.010%
352,Electabuzz,0.01282%,11,0.013%,9,0.013%
353,Plusle,0.01282%,11,0.013%,10,0.015%
354,Oshawott,0.01165%,10,0.012%,9,0.013%
355,Bibarel,0.01165%,10,0.012%,5,0.007%
356,Munchlax,0.01165%,10,0.012%,8,0.012%
357,Farfetch'd,0.01049%,9,0.010%,8,0.012%
358,Dunsparce,0.01049%,9,0.010%,9,0.013%
359,Seel,0.01049%,9,0.010%,7,0.010%
360,Dustox,0.00932%,8,0.009%,8,0.012%
361,Klang,0.00932%,8,0.009%,6,0.009%
362,Magnemite,0.00816%,7,0.008%,5,0.007%
363,Fearow,0.00816%,7,0.008%,6,0.009%
364,Dewott,0.00816%,7,0.008%,7,0.010%
365,Ariados,0.00816%,7,0.008%,7,0.010%
366,Gabite,0.00816%,7,0.008%,7,0.010%
367,Lumineon,0.00816%,7,0.008%,4,0.006%
368,Vigoroth,0.00816%,7,0.008%,6,0.009%
369,Pawniard,0.00699%,6,0.007%,4,0.006%
370,Vullaby,0.00699%,6,0.007%,3,0.004%
371,Vespiquen,0.00699%,6,0.007%,5,0.007%
372,Ducklett,0.00699%,6,0.007%,5,0.007%
373,Cubone,0.00699%,6,0.007%,6,0.009%
374,Hippopotas,0.00699%,6,0.007%,6,0.009%
375,Golett,0.00699%,6,0.007%,6,0.009%
376,Bayleef,0.00583%,5,0.006%,4,0.006%
377,Kabuto,0.00583%,5,0.006%,5,0.007%
378,Charmeleon,0.00583%,5,0.006%,5,0.007%
379,Rotom-Fan,0.00583%,5,0.006%,4,0.006%
380,Togetic,0.00583%,5,0.006%,5,0.007%
381,Whirlipede,0.00583%,5,0.006%,5,0.007%
382,Illumise,0.00583%,5,0.006%,2,0.003%
383,Lickitung,0.00583%,5,0.006%,3,0.004%
384,Kecleon,0.00466%,4,0.005%,4,0.006%
385,Squirtle,0.00466%,4,0.005%,4,0.006%
386,Bulbasaur,0.00466%,4,0.005%,3,0.004%
387,Quilava,0.00466%,4,0.005%,3,0.004%
388,Corphish,0.00466%,4,0.005%,2,0.003%
389,Shroomish,0.00466%,4,0.005%,3,0.004%
390,Meowth,0.00466%,4,0.005%,2,0.003%
391,Staryu,0.00466%,4,0.005%,2,0.003%
392,Solrock,0.00466%,4,0.005%,3,0.004%
393,Anorith,0.00466%,4,0.005%,2,0.003%
394,Delibird,0.00466%,4,0.005%,3,0.004%
395,Lombre,0.00466%,4,0.005%,1,0.001%
396,Bronzor,0.00466%,4,0.005%,3,0.004%
397,Paras,0.00466%,4,0.005%,4,0.006%
398,Cranidos,0.00466%,4,0.005%,0,0.000%
399,Exploud,0.00350%,3,0.003%,1,0.001%
400,Clefairy,0.00350%,3,0.003%,3,0.004%
401,Totodile,0.00350%,3,0.003%,2,0.003%
402,Pansear,0.00350%,3,0.003%,3,0.004%
403,Pidove,0.00350%,3,0.003%,3,0.004%
404,Blitzle,0.00350%,3,0.003%,3,0.004%
405,Nosepass,0.00350%,3,0.003%,3,0.004%
406,Kricketune,0.00350%,3,0.003%,1,0.001%
407,Carnivine,0.00350%,3,0.003%,3,0.004%
408,Ivysaur,0.00350%,3,0.003%,2,0.003%
409,Pineco,0.00350%,3,0.003%,3,0.004%
410,Poliwhirl,0.00350%,3,0.003%,3,0.004%
411,Magikarp,0.00350%,3,0.003%,3,0.004%
412,Croconaw,0.00350%,3,0.003%,1,0.001%
413,Tepig,0.00350%,3,0.003%,2,0.003%
414,Gothorita,0.00233%,2,0.002%,2,0.003%
415,Sewaddle,0.00233%,2,0.002%,2,0.003%
416,Tranquill,0.00233%,2,0.002%,2,0.003%
417,Shellder,0.00233%,2,0.002%,1,0.001%
418,Ledian,0.00233%,2,0.002%,2,0.003%
419,Snorunt,0.00233%,2,0.002%,2,0.003%
420,Gloom,0.00233%,2,0.002%,2,0.003%
421,Tirtouga,0.00233%,2,0.002%,2,0.003%
422,Archen,0.00233%,2,0.002%,2,0.003%
423,Ekans,0.00233%,2,0.002%,2,0.003%
424,Grimer,0.00233%,2,0.002%,2,0.003%
425,Lairon,0.00233%,2,0.002%,2,0.003%
426,Starly,0.00233%,2,0.002%,2,0.003%
427,Geodude,0.00233%,2,0.002%,2,0.003%
428,Wormadam,0.00233%,2,0.002%,2,0.003%
429,Darumaka,0.00233%,2,0.002%,1,0.001%
430,Phanpy,0.00233%,2,0.002%,1,0.001%
431,Krokorok,0.00233%,2,0.002%,2,0.003%
432,Eevee,0.00233%,2,0.002%,2,0.003%
433,Luvdisc,0.00233%,2,0.002%,1,0.001%
434,Zorua,0.00233%,2,0.002%,0,0.000%
435,Zigzagoon,0.00233%,2,0.002%,1,0.001%
436,Marill,0.00233%,2,0.002%,1,0.001%
437,Kirlia,0.00117%,1,0.001%,1,0.001%
438,Togepi,0.00117%,1,0.001%,1,0.001%
439,Purrloin,0.00117%,1,0.001%,1,0.001%
440,Minun,0.00117%,1,0.001%,1,0.001%
441,Cacnea,0.00117%,1,0.001%,1,0.001%
442,Swadloon,0.00117%,1,0.001%,1,0.001%
443,Grotle,0.00117%,1,0.001%,1,0.001%
444,Prinplup,0.00117%,1,0.001%,1,0.001%
445,Grovyle,0.00117%,1,0.001%,1,0.001%
446,Exeggcute,0.00117%,1,0.001%,1,0.001%
447,Slakoth,0.00117%,1,0.001%,1,0.001%
448,Spheal,0.00117%,1,0.001%,1,0.001%
449,Skorupi,0.00117%,1,0.001%,1,0.001%
450,Buizel,0.00117%,1,0.001%,1,0.001%
451,Gastly,0.00117%,1,0.001%,1,0.001%
452,Bellossom,0.00117%,1,0.001%,1,0.001%
453,Vulpix,0.00117%,1,0.001%,1,0.001%
454,Gurdurr,0.00117%,1,0.001%,1,0.001%
455,Joltik,0.00117%,1,0.001%,1,0.001%
456,Jigglypuff,0.00117%,1,0.001%,1,0.001%
457,Gulpin,0.00117%,1,0.001%,1,0.001%
458,Eelektrik,0.00117%,1,0.001%,1,0.001%
459,Mienfoo,0.00117%,1,0.001%,1,0.001%
460,Sandile,0.00117%,1,0.001%,1,0.001%
461,Metang,0.00117%,1,0.001%,1,0.001%
462,Caterpie,0.00117%,1,0.001%,1,0.001%
463,Metapod,0.00117%,1,0.001%,1,0.001%
464,Weedle,0.00117%,1,0.001%,1,0.001%
465,Kakuna,0.00117%,1,0.001%,1,0.001%
466,Taillow,0.00117%,1,0.001%,1,0.001%
467,Zweilous,0.00117%,1,0.001%,1,0.001%
468,Chimchar,0.00117%,1,0.001%,0,0.000%
469,Feebas,0.00117%,1,0.001%,0,0.000%
470,Dwebble,0.00117%,1,0.001%,0,0.000%
471,Krabby,0.00117%,1,0.001%,1,0.001%
472,Dratini,0.00117%,1,0.001%,1,0.001%
473,Wormadam-Sandy,0.00117%,1,0.001%,1,0.001%
474,Burmy,0.00117%,1,0.001%,1,0.001%
475,Wurmple,0.00117%,1,0.001%,1,0.001%
476,Spinarak,0.00117%,1,0.001%,1,0.001%
