Rank,Pokemon,Usage%,Raw,%,Real,%
63,Haxorus,1.75124%,1555,1.751%,1154,1.607%
64,Umbreon,1.69381%,1504,1.694%,1139,1.586%
65,Azelf,1.66115%,1475,1.661%,1396,1.944%
66,Cofagrigus,1.65777%,1472,1.658%,1184,1.649%
67,Quagsire,1.57330%,1397,1.573%,1011,1.408%
68,Seismitoad,1.48546%,1319,1.485%,1188,1.654%
69,Scrafty,1.41901%,1260,1.419%,1016,1.415%
70,Bisharp,1.39311%,1237,1.393%,948,1.320%
71,Heracross,1.32104%,1173,1.321%,916,1.276%
72,Ditto,1.30865%,1162,1.309%,853,1.188%
73,Claydol,1.29513%,1150,1.295%,973,1.355%
74,Froslass,1.27486%,1132,1.275%,976,1.359%
75,Roserade,1.23995%,1101,1.240%,823,1.146%
76,Mew,1.22193%,1085,1.222%,953,1.327%
77,Nidoking,1.21742%,1081,1.217%,831,1.157%
78,Pikachu,1.15098%,1022,1.151%,523,0.728%
79,Sableye,1.13409%,1007,1.134%,831,1.157%
80,Rhyperior,1.09917%,976,1.099%,745,1.037%
81,Snorlax,1.07440%,954,1.074%,761,1.060%
82,Krookodile,1.06088%,942,1.061%,744,1.036%
83,Cresselia,1.05413%,936,1.054%,785,1.093%
84,Venusaur,1.04061%,924,1.041%,675,0.940%
85,Milotic,1.03836%,922,1.038%,739,1.029%
86,Blastoise,1.03273%,917,1.033%,769,1.071%
87,Eelektross,1.02710%,912,1.027%,709,0.987%
88,Porygon2,1.01921%,905,1.019%,738,1.028%
89,Arcanine,1.00457%,892,1.005%,737,1.026%
90,Dusclops,0.99782%,886,0.998%,752,1.047%
91,Zoroark,0.99331%,882,0.993%,342,0.476%
92,Swampert,0.97079%,862,0.971%,733,1.021%
93,Hitmontop,0.92686%,823,0.927%,680,0.947%
94,Crobat,0.92236%,819,0.922%,636,0.886%
95,Serperior,0.87393%,776,0.874%,595,0.829%
96,Vaporeon,0.85817%,762,0.858%,608,0.847%
97,Charizard,0.82776%,735,0.828%,565,0.787%
98,Machamp,0.80749%,717,0.807%,591,0.823%
99,Staraptor,0.79622%,707,0.796%,577,0.804%
100,Samurott,0.79059%,702,0.791%,538,0.749%
101,Suicune,0.78722%,699,0.787%,570,0.794%
102,Galvantula,0.78609%,698,0.786%,559,0.778%
103,Kyurem,0.78158%,694,0.782%,543,0.756%
104,Empoleon,0.77032%,684,0.770%,557,0.776%
105,Aerodactyl,0.74442%,661,0.744%,576,0.802%
106,Honchkrow,0.72302%,642,0.723%,491,0.684%
107,Kingdra,0.71514%,635,0.715%,489,0.681%
108,Flygon,0.65207%,579,0.652%,469,0.653%
109,Sigilyph,0.64531%,573,0.645%,453,0.631%
110,Lapras,0.64419%,572,0.644%,432,0.602%
111,Spiritomb,0.62955%,559,0.630%,453,0.631%
112,Archeops,0.62392%,554,0.624%,467,0.650%
113,Dusknoir,0.62392%,554,0.624%,424,0.590%
114,Whimsicott,0.53495%,475,0.535%,403,0.561%
115,Azumarill,0.51580%,458,0.516%,390,0.543%
116,Exeggutor,0.50679%,450,0.507%,357,0.497%
117,Escavalier,0.49666%,441,0.497%,342,0.476%
118,Hitmonchan,0.49440%,439,0.494%,313,0.436%
119,Emboar,0.44372%,394,0.444%,316,0.440%
120,Omastar,0.44035%,391,0.440%,270,0.376%
121,Electivire,0.43584%,387,0.436%,311,0.433%
122,Ambipom,0.43246%,384,0.432%,316,0.440%
123,Tangrowth,0.41444%,368,0.414%,314,0.437%
124,Lilligant,0.40543%,360,0.405%,298,0.415%
125,Stoutland,0.40318%,358,0.403%,262,0.365%
126,Golurk,0.40093%,356,0.401%,290,0.404%
127,Swellow,0.39417%,350,0.394%,254,0.354%
128,Druddigon,0.39079%,347,0.391%,292,0.407%
129,Accelgor,0.37840%,336,0.378%,268,0.373%
130,Cradily,0.37165%,330,0.372%,259,0.361%
131,Nidoqueen,0.37052%,329,0.371%,290,0.404%
132,Alomomola,0.36827%,327,0.368%,268,0.373%
133,Porygon-Z,0.36038%,320,0.360%,260,0.362%
134,Moltres,0.35926%,319,0.359%,254,0.354%
135,Audino,0.35813%,318,0.358%,246,0.343%
136,Raikou,0.35701%,317,0.357%,249,0.347%
137,Gallade,0.35250%,313,0.353%,237,0.330%
138,Riolu,0.33673%,299,0.337%,193,0.269%
139,Mismagius,0.33448%,297,0.334%,241,0.336%
140,Medicham,0.33223%,295,0.332%,234,0.326%
141,Crustle,0.32998%,293,0.330%,253,0.352%
142,Aggron,0.31984%,284,0.320%,246,0.343%
143,Sharpedo,0.30520%,271,0.305%,203,0.283%
144,Mandibuzz,0.30407%,270,0.304%,229,0.319%
145,Crawdaunt,0.30182%,268,0.302%,199,0.277%
146,Meloetta,0.28493%,253,0.285%,192,0.267%
147,Magneton,0.28380%,252,0.284%,201,0.280%
148,Braviary,0.28268%,251,0.283%,197,0.274%
149,Poliwrath,0.28042%,249,0.280%,203,0.283%
150,Rotom-Heat,0.27817%,247,0.278%,203,0.283%
151,Yanmega,0.27592%,245,0.276%,183,0.255%
152,Glaceon,0.26691%,237,0.267%,141,0.196%
153,Durant,0.26353%,234,0.264%,188,0.262%
154,Sceptile,0.26015%,231,0.260%,176,0.245%
155,Vileplume,0.25903%,230,0.259%,167,0.233%
156,Carracosta,0.25903%,230,0.259%,167,0.233%
157,Golem,0.25452%,226,0.255%,201,0.280%
158,Rotom-Mow,0.25340%,225,0.253%,176,0.245%
159,Drapion,0.25002%,222,0.250%,172,0.240%
160,Torterra,0.24664%,219,0.247%,186,0.259%
161,Zebstrika,0.24551%,218,0.246%,185,0.258%
162,Lanturn,0.24326%,216,0.243%,168,0.234%
163,Cryogonal,0.23763%,211,0.238%,172,0.240%
164,Rotom,0.23538%,209,0.235%,186,0.259%
165,Ludicolo,0.23425%,208,0.234%,159,0.221%
166,Scolipede,0.23200%,206,0.232%,166,0.231%
167,Bouffalant,0.23087%,205,0.231%,133,0.185%
168,Slaking,0.23087%,205,0.231%,160,0.223%
169,Weezing,0.22637%,201,0.226%,167,0.233%
170,Rampardos,0.22524%,200,0.225%,141,0.196%
171,Raichu,0.22186%,197,0.222%,148,0.206%
172,Torkoal,0.21623%,192,0.216%,166,0.231%
173,Virizion,0.21510%,191,0.215%,151,0.210%
174,Kabutops,0.21398%,190,0.214%,140,0.195%
175,Klinklang,0.21173%,188,0.212%,154,0.214%
176,Typhlosion,0.21173%,188,0.212%,131,0.182%
177,Liepard,0.21173%,188,0.212%,162,0.226%
178,Shaymin,0.20272%,180,0.203%,122,0.170%
179,Cobalion,0.20159%,179,0.202%,148,0.206%
180,Hitmonlee,0.20046%,178,0.200%,151,0.210%
181,Drifblim,0.19934%,177,0.199%,134,0.187%
182,Simisear,0.19934%,177,0.199%,153,0.213%
183,Garbodor,0.19596%,174,0.196%,133,0.185%
184,Walrein,0.19483%,173,0.195%,139,0.194%
185,Leafeon,0.19371%,172,0.194%,137,0.191%
186,Houndoom,0.19033%,169,0.190%,125,0.174%
187,Cinccino,0.19033%,169,0.190%,135,0.188%
188,Regirock,0.18920%,168,0.189%,131,0.182%
189,Feraligatr,0.18808%,167,0.188%,127,0.177%
190,Uxie,0.18244%,162,0.182%,152,0.212%
191,Ursaring,0.18019%,160,0.180%,115,0.160%
192,Swoobat,0.17907%,159,0.179%,125,0.174%
193,Dugtrio,0.17569%,156,0.176%,129,0.180%
194,Marowak,0.17456%,155,0.175%,136,0.189%
195,Luxray,0.17006%,151,0.170%,108,0.150%
196,Golduck,0.16780%,149,0.168%,97,0.135%
197,Rotom-Frost,0.16780%,149,0.168%,109,0.152%
198,Steelix,0.16668%,148,0.167%,113,0.157%
199,Ampharos,0.16330%,145,0.163%,124,0.173%
200,Tauros,0.16105%,143,0.161%,81,0.113%
201,Shuckle,0.16105%,143,0.161%,130,0.181%
202,Illumise,0.15767%,140,0.158%,112,0.156%
203,Scyther,0.15767%,140,0.158%,107,0.149%
204,Venomoth,0.15429%,137,0.154%,98,0.136%
205,Simisage,0.14866%,132,0.149%,114,0.159%
206,Regice,0.14866%,132,0.149%,79,0.110%
207,Swanna,0.14528%,129,0.145%,108,0.150%
208,Flareon,0.14190%,126,0.142%,93,0.130%
209,Shedinja,0.14190%,126,0.142%,84,0.117%
210,Smeargle,0.14078%,125,0.141%,120,0.167%
211,Regigigas,0.14078%,125,0.141%,113,0.157%
212,Aron,0.13289%,118,0.133%,100,0.139%
213,Gardevoir,0.13177%,117,0.132%,94,0.131%
214,Rapidash,0.12501%,111,0.125%,84,0.117%
215,Vanilluxe,0.12501%,111,0.125%,89,0.124%
216,Muk,0.12388%,110,0.124%,78,0.109%
217,Magmortar,0.12388%,110,0.124%,95,0.132%
218,Absol,0.12276%,109,0.123%,96,0.134%
219,Registeel,0.12276%,109,0.123%,82,0.114%
220,Electrode,0.11600%,103,0.116%,83,0.116%
221,Butterfree,0.11600%,103,0.116%,82,0.114%
222,Emolga,0.11487%,102,0.115%,85,0.118%
223,Miltank,0.11149%,99,0.111%,74,0.103%
224,Unfezant,0.11149%,99,0.111%,77,0.107%
225,Gigalith,0.11037%,98,0.110%,75,0.104%
226,Mightyena,0.11037%,98,0.110%,71,0.099%
227,Lickilicky,0.10924%,97,0.109%,84,0.117%
228,Musharna,0.10812%,96,0.108%,74,0.103%
229,Gurdurr,0.10812%,96,0.108%,70,0.097%
230,Probopass,0.10361%,92,0.104%,74,0.103%
231,Skuntank,0.10361%,92,0.104%,79,0.110%
232,Armaldo,0.10248%,91,0.102%,78,0.109%
233,Stunfisk,0.10248%,91,0.102%,78,0.109%
234,Zangoose,0.10248%,91,0.102%,73,0.102%
235,Jynx,0.10023%,89,0.100%,66,0.092%
236,Simipour,0.09911%,88,0.099%,72,0.100%
237,Sawk,0.09798%,87,0.098%,66,0.092%
238,Pelipper,0.09798%,87,0.098%,73,0.102%
239,Altaria,0.09798%,87,0.098%,61,0.085%
240,Beartic,0.09798%,87,0.098%,70,0.097%
241,Manectric,0.09685%,86,0.097%,62,0.086%
242,Kingler,0.09685%,86,0.097%,56,0.078%
243,Hariyama,0.09573%,85,0.096%,72,0.100%
244,Throh,0.09573%,85,0.096%,65,0.091%
245,Primeape,0.09460%,84,0.095%,69,0.096%
246,Sawsbuck,0.09347%,83,0.093%,70,0.097%
247,Ninjask,0.09122%,81,0.091%,53,0.074%
248,Misdreavus,0.08672%,77,0.087%,63,0.088%
249,Pinsir,0.08672%,77,0.087%,68,0.095%
250,Articuno,0.08672%,77,0.087%,55,0.077%
251,Leavanny,0.08559%,76,0.086%,55,0.077%
252,Castform,0.08447%,75,0.084%,65,0.091%
253,Bastiodon,0.07433%,66,0.074%,63,0.088%
254,Cacturne,0.07320%,65,0.073%,49,0.068%
255,Pidgeot,0.07320%,65,0.073%,49,0.068%
256,Gothitelle,0.07320%,65,0.073%,53,0.074%
257,Beheeyem,0.07320%,65,0.073%,46,0.064%
258,Glalie,0.07320%,65,0.073%,42,0.058%
259,Camerupt,0.06757%,60,0.068%,52,0.072%
260,Munchlax,0.06645%,59,0.066%,40,0.056%
261,Bulbasaur,0.06419%,57,0.064%,50,0.070%
262,Floatzel,0.06194%,55,0.062%,50,0.070%
263,Rhydon,0.06194%,55,0.062%,48,0.067%
264,Spinda,0.06081%,54,0.061%,45,0.063%
265,Qwilfish,0.05969%,53,0.060%,44,0.061%
266,Ferroseed,0.05856%,52,0.059%,43,0.060%
267,Mawile,0.05744%,51,0.057%,35,0.049%
268,Murkrow,0.05631%,50,0.056%,44,0.061%
269,Watchog,0.05631%,50,0.056%,41,0.057%
270,Mesprit,0.05406%,48,0.054%,42,0.058%
271,Linoone,0.05293%,47,0.053%,39,0.054%
272,Whiscash,0.05181%,46,0.052%,36,0.050%
273,Meganium,0.05068%,45,0.051%,40,0.056%
274,Granbull,0.05068%,45,0.051%,32,0.045%
275,Grovyle,0.05068%,45,0.051%,32,0.045%
276,Solrock,0.04843%,43,0.048%,19,0.026%
277,Kadabra,0.04617%,41,0.046%,36,0.050%
278,Rotom-Fan,0.04617%,41,0.046%,33,0.046%
279,Magcargo,0.04167%,37,0.042%,31,0.043%
280,Clefairy,0.04167%,37,0.042%,37,0.052%
281,Dewgong,0.04167%,37,0.042%,25,0.035%
282,Clamperl,0.04167%,37,0.042%,22,0.031%
283,Gorebyss,0.03942%,35,0.039%,17,0.024%
284,Electabuzz,0.03942%,35,0.039%,32,0.045%
285,Persian,0.03829%,34,0.038%,28,0.039%
286,Girafarig,0.03829%,34,0.038%,29,0.040%
287,Wobbuffet,0.03829%,34,0.038%,28,0.039%
288,Beedrill,0.03716%,33,0.037%,26,0.036%
289,Haunter,0.03604%,32,0.036%,12,0.017%
290,Mr.Mime,0.03604%,32,0.036%,29,0.040%
291,Noctowl,0.03604%,32,0.036%,27,0.038%
292,Piloswine,0.03604%,32,0.036%,28,0.039%
293,Lopunny,0.03604%,32,0.036%,21,0.029%
294,Rattata,0.03604%,32,0.036%,30,0.042%
295,Eevee,0.03604%,32,0.036%,21,0.029%
296,Raticate,0.03491%,31,0.035%,26,0.036%
297,Entei,0.03379%,30,0.034%,27,0.038%
298,Phanpy,0.03379%,30,0.034%,29,0.040%
299,Grumpig,0.03266%,29,0.033%,25,0.035%
300,Banette,0.03266%,29,0.033%,24,0.033%
301,Pignite,0.03153%,28,0.032%,23,0.032%
302,Palpitoad,0.03153%,28,0.032%,25,0.035%
303,Gligar,0.03041%,27,0.030%,20,0.028%
304,Charmeleon,0.03041%,27,0.030%,21,0.029%
305,Pupitar,0.03041%,27,0.030%,18,0.025%
306,Maractus,0.02928%,26,0.029%,22,0.031%
307,Mantine,0.02816%,25,0.028%,22,0.031%
308,Parasect,0.02703%,24,0.027%,17,0.024%
309,Corphish,0.02703%,24,0.027%,15,0.021%
310,Dunsparce,0.02590%,23,0.026%,17,0.024%
311,Arbok,0.02478%,22,0.025%,18,0.025%
312,Boldore,0.02478%,22,0.025%,21,0.029%
313,Cottonee,0.02478%,22,0.025%,21,0.029%
314,Dragonair,0.02365%,21,0.024%,15,0.021%
315,Kangaskhan,0.02365%,21,0.024%,18,0.025%
316,Golbat,0.02365%,21,0.024%,16,0.022%
317,Eelektrik,0.02365%,21,0.024%,18,0.025%
318,Tropius,0.02252%,20,0.023%,16,0.022%
319,Vigoroth,0.02252%,20,0.023%,18,0.025%
320,Pansear,0.02252%,20,0.023%,19,0.026%
321,Relicanth,0.02140%,19,0.021%,13,0.018%
322,Jumpluff,0.02140%,19,0.021%,17,0.024%
323,Basculin,0.02140%,19,0.021%,14,0.019%
324,Oshawott,0.01915%,17,0.019%,14,0.019%
325,Duosion,0.01915%,17,0.019%,10,0.014%
326,Hypno,0.01915%,17,0.019%,15,0.021%
327,Plusle,0.01915%,17,0.019%,12,0.017%
328,Golett,0.01915%,17,0.019%,16,0.022%
329,Furret,0.01802%,16,0.018%,13,0.018%
330,Cherrim,0.01689%,15,0.017%,11,0.015%
331,Fearow,0.01689%,15,0.017%,11,0.015%
332,Koffing,0.01689%,15,0.017%,15,0.021%
333,Onix,0.01689%,15,0.017%,14,0.019%
334,Wailord,0.01464%,13,0.015%,10,0.014%
335,Growlithe,0.01464%,13,0.015%,12,0.017%
336,Vulpix,0.01464%,13,0.015%,11,0.015%
337,Magmar,0.01464%,13,0.015%,9,0.013%
338,Sunflora,0.01464%,13,0.015%,9,0.013%
339,Heatmor,0.01351%,12,0.014%,8,0.011%
340,Snivy,0.01351%,12,0.014%,9,0.013%
341,Scraggy,0.01351%,12,0.014%,10,0.014%
342,Gabite,0.01351%,12,0.014%,12,0.017%
343,Volbeat,0.01351%,12,0.014%,11,0.015%
344,Seadra,0.01351%,12,0.014%,7,0.010%
345,Tepig,0.01239%,11,0.012%,6,0.008%
346,Dodrio,0.01239%,11,0.012%,7,0.010%
347,Carvanha,0.01126%,10,0.011%,10,0.014%
348,Bayleef,0.01126%,10,0.011%,6,0.008%
349,Wigglytuff,0.01126%,10,0.011%,10,0.014%
350,Surskit,0.01126%,10,0.011%,10,0.014%
351,Masquerain,0.01126%,10,0.011%,7,0.010%
352,Tangela,0.01126%,10,0.011%,9,0.013%
353,Solosis,0.01126%,10,0.011%,7,0.010%
354,Beautifly,0.01014%,9,0.010%,8,0.011%
355,Machoke,0.01014%,9,0.010%,9,0.013%
356,Patrat,0.01014%,9,0.010%,8,0.011%
357,Dewott,0.01014%,9,0.010%,6,0.008%
358,Ariados,0.00901%,8,0.009%,5,0.007%
359,Sudowoodo,0.00901%,8,0.009%,8,0.011%
360,Aipom,0.00901%,8,0.009%,8,0.011%
361,Seaking,0.00901%,8,0.009%,6,0.008%
362,Victreebel,0.00901%,8,0.009%,5,0.007%
363,Octillery,0.00901%,8,0.009%,8,0.011%
364,Swalot,0.00788%,7,0.008%,7,0.010%
365,Roselia,0.00788%,7,0.008%,4,0.006%
366,Vanillish,0.00788%,7,0.008%,3,0.004%
367,Cranidos,0.00676%,6,0.007%,5,0.007%
368,Combusken,0.00676%,6,0.007%,6,0.008%
369,Togetic,0.00676%,6,0.007%,5,0.007%
370,Purugly,0.00676%,6,0.007%,6,0.008%
371,Bidoof,0.00676%,6,0.007%,4,0.006%
372,Nosepass,0.00676%,6,0.007%,4,0.006%
373,Kecleon,0.00676%,6,0.007%,5,0.007%
374,Shellder,0.00676%,6,0.007%,6,0.008%
375,Grotle,0.00676%,6,0.007%,6,0.008%
376,Farfetch'd,0.00676%,6,0.007%,6,0.008%
377,Buizel,0.00676%,6,0.007%,5,0.007%
378,Swablu,0.00676%,6,0.007%,6,0.008%
379,Pidgeotto,0.00563%,5,0.006%,4,0.006%
380,Pachirisu,0.00563%,5,0.006%,4,0.006%
381,Kricketune,0.00563%,5,0.006%,5,0.007%
382,Croagunk,0.00563%,5,0.006%,5,0.007%
383,Paras,0.00563%,5,0.006%,5,0.007%
384,Lampent,0.00563%,5,0.006%,4,0.006%
385,Huntail,0.00563%,5,0.006%,3,0.004%
386,Metang,0.00563%,5,0.006%,4,0.006%
387,Lickitung,0.00563%,5,0.006%,4,0.006%
388,Snover,0.00563%,5,0.006%,4,0.006%
389,Wormadam-Trash,0.00563%,5,0.006%,5,0.007%
390,Woobat,0.00563%,5,0.006%,5,0.007%
391,Pidgey,0.00450%,4,0.005%,4,0.006%
392,Pidove,0.00450%,4,0.005%,4,0.006%
393,Lumineon,0.00450%,4,0.005%,4,0.006%
394,Seviper,0.00450%,4,0.005%,2,0.003%
395,Chatot,0.00450%,4,0.005%,4,0.006%
396,Weedle,0.00450%,4,0.005%,4,0.006%
397,Servine,0.00450%,4,0.005%,4,0.006%
398,Natu,0.00450%,4,0.005%,4,0.006%
399,Doduo,0.00450%,4,0.005%,4,0.006%
400,Lairon,0.00450%,4,0.005%,2,0.003%
401,Hippopotas,0.00338%,3,0.003%,3,0.004%
402,Croconaw,0.00338%,3,0.003%,3,0.004%
403,Zorua,0.00338%,3,0.003%,1,0.001%
404,Jigglypuff,0.00338%,3,0.003%,1,0.001%
405,Totodile,0.00338%,3,0.003%,3,0.004%
406,Shiftry,0.00338%,3,0.003%,2,0.003%
407,Bibarel,0.00338%,3,0.003%,3,0.004%
408,Mantyke,0.00338%,3,0.003%,3,0.004%
409,Squirtle,0.00338%,3,0.003%,0,0.000%
410,Slugma,0.00338%,3,0.003%,3,0.004%
411,Yanma,0.00338%,3,0.003%,0,0.000%
412,Cubone,0.00338%,3,0.003%,3,0.004%
413,Spinarak,0.00338%,3,0.003%,3,0.004%
414,Vespiquen,0.00338%,3,0.003%,2,0.003%
415,Wailmer,0.00225%,2,0.002%,2,0.003%
416,Unown,0.00225%,2,0.002%,1,0.001%
417,Corsola,0.00225%,2,0.002%,2,0.003%
418,Marshtomp,0.00225%,2,0.002%,1,0.001%
419,Quilava,0.00225%,2,0.002%,1,0.001%
420,Elekid,0.00225%,2,0.002%,2,0.003%
421,Duskull,0.00225%,2,0.002%,2,0.003%
422,Timburr,0.00225%,2,0.002%,1,0.001%
423,Magnemite,0.00225%,2,0.002%,2,0.003%
424,Taillow,0.00225%,2,0.002%,2,0.003%
425,Houndour,0.00225%,2,0.002%,1,0.001%
426,Gastly,0.00225%,2,0.002%,1,0.001%
427,Chikorita,0.00225%,2,0.002%,2,0.003%
428,Cyndaquil,0.00225%,2,0.002%,2,0.003%
429,Graveler,0.00225%,2,0.002%,1,0.001%
430,Delcatty,0.00225%,2,0.002%,2,0.003%
431,Flaaffy,0.00225%,2,0.002%,2,0.003%
432,Snorunt,0.00225%,2,0.002%,1,0.001%
433,Pansage,0.00225%,2,0.002%,2,0.003%
434,Fraxure,0.00225%,2,0.002%,2,0.003%
435,Sewaddle,0.00113%,1,0.001%,1,0.001%
436,Roggenrola,0.00113%,1,0.001%,1,0.001%
437,Sneasel,0.00113%,1,0.001%,1,0.001%
438,Happiny,0.00113%,1,0.001%,1,0.001%
439,Wynaut,0.00113%,1,0.001%,1,0.001%
440,Porygon,0.00113%,1,0.001%,1,0.001%
441,Joltik,0.00113%,1,0.001%,1,0.001%
442,Whirlipede,0.00113%,1,0.001%,1,0.001%
443,Venipede,0.00113%,1,0.001%,1,0.001%
444,Delibird,0.00113%,1,0.001%,1,0.001%
445,Larvesta,0.00113%,1,0.001%,1,0.001%
446,Krokorok,0.00113%,1,0.001%,1,0.001%
447,Stantler,0.00113%,1,0.001%,1,0.001%
448,Marill,0.00113%,1,0.001%,1,0.001%
449,Meditite,0.00113%,1,0.001%,1,0.001%
450,Baltoy,0.00113%,1,0.001%,1,0.001%
451,Wooper,0.00113%,1,0.001%,1,0.001%
452,Frillish,0.00113%,1,0.001%,1,0.001%
453,Turtwig,0.00113%,1,0.001%,1,0.001%
454,Grimer,0.00113%,1,0.001%,1,0.001%
455,Geodude,0.00113%,1,0.001%,1,0.001%
456,Zubat,0.00113%,1,0.001%,1,0.001%
457,Hoothoot,0.00113%,1,0.001%,1,0.001%
458,Cherubi,0.00113%,1,0.001%,1,0.001%
459,Carnivine,0.00113%,1,0.001%,1,0.001%
460,Ivysaur,0.00113%,1,0.001%,1,0.001%
461,Exeggcute,0.00113%,1,0.001%,1,0.001%
462,Sandile,0.00113%,1,0.001%,0,0.000%
463,Magby,0.00113%,1,0.001%,1,0.001%
464,Tranquill,0.00113%,1,0.001%,1,0.001%
465,Lillipup,0.00113%,1,0.001%,1,0.001%
466,Wartortle,0.00113%,1,0.001%,0,0.000%
467,Ducklett,0.00113%,1,0.001%,1,0.001%
468,Swinub,0.00113%,1,0.001%,1,0.001%
469,Starly,0.00113%,1,0.001%,1,0.001%
470,Shelmet,0.00113%,1,0.001%,1,0.001%
471,Luvdisc,0.00113%,1,0.001%,0,0.000%
472,Ledian,0.00113%,1,0.001%,1,0.001%
473,Tirtouga,0.00113%,1,0.001%,1,0.001%
474,Minccino,0.00113%,1,0.001%,1,0.001%
475,Darumaka,0.00113%,1,0.001%,1,0.001%
476,Zweilous,0.00113%,1,0.001%,1,0.001%
