Tag,Player 1 Pokemon 1,Player 1 Pokemon 2,Player 1 Pokemon 3,Player 1 Pokemon 4,Player 1 Pokemon 5,Player 1 Pokemon 6,Player 2 Pokemon 1,Player 2 Pokemon 2,Player 2 Pokemon 3,Player 2 Pokemon 4,Player 2 Pokemon 5,Player 2 Pokemon 6
1003135367,Garchomp,Dragonite,Breloom,Starmie,Volcarona,Scizor,Politoed,Tentacruel,Ferrothorn,Volcarona,Keldeo,Thundurus-Therian
1003555728,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Forretress,Heatran,Latios,Landorus-Therian,Tyranitar,Dusclops
1003767530,Politoed,Jirachi,Kyurem-Black,Thundurus-Therian,Donphan,Keldeo,Reuniclus,Skarmory,Garchomp,Jellicent,Tyranitar,Heatran
1003769330,Breloom,Alakazam,Garchomp,Froslass,Scizor,Keldeo,Tyranitar,Mienshao,Gliscor,Skarmory,Amoonguss,Alakazam
1003797263,Politoed,Jirachi,Kyurem-Black,Thundurus-Therian,Donphan,Keldeo,Politoed,Gliscor,Tentacruel,Blissey,Ferrothorn,Jirachi
100419815,Ninetales,Milotic,Togekiss,Zoroark,Garchomp,Glaceon,Rotom-Wash,Donphan,Magnezone,Dragonite,Victini,Scizor
1004651431,Bronzong,Jellicent,Reuniclus,Breloom,Tyranitar,Torkoal,Politoed,Scizor,Tentacruel,Landorus-Therian,Kyurem,Mew
1004655951,Alakazam,Garchomp,Gastrodon,Skarmory,Tyranitar,Gengar,Politoed,Scizor,Tentacruel,Landorus-Therian,Kyurem,Mew
1005184570,Tyranitar,Alakazam,Breloom,Hydreigon,Landorus-Therian,Scizor,Starmie,Dragonite,Jirachi,Magnezone,Amoonguss,Landorus-Therian
100529510,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Hippowdon,Skarmory,Jellicent,Xatu,Stoutland,Kyurem-Black
1006337862,Alakazam,Hydreigon,Landorus-Therian,Ferrothorn,Amoonguss,Tyranitar,Tyranitar,Rotom-Heat,Garchomp,Heatran,Starmie,Ferrothorn
1006510055,Abomasnow,Kyurem-Black,Magnezone,Gliscor,Dragonite,Forretress,Alakazam,Garchomp,Gastrodon,Skarmory,Tyranitar,Gengar
1006635862,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Bronzong,Reuniclus,Victini,Porygon2,Machamp,Alakazam
1006707735,Latios,Salamence,Jellicent,Ferrothorn,Hitmontop,Gliscor,Hippowdon,Ferrothorn,Blissey,Chansey,Gengar,Salamence
100672841,Breloom,Latios,Terrakion,Tyranitar,Keldeo,Scizor,Chansey,Landorus-Therian,Tentacruel,Latias,Skarmory,Breloom
1006890791,Rotom-Wash,Landorus-Therian,Heracross,Latios,Tyranitar,Skarmory,Politoed,Chansey,Skarmory,Tentacruel,Amoonguss,Jirachi
1006925191,Hippowdon,Forretress,Jellicent,Roserade,Jirachi,Gliscor,Scrafty,Reuniclus,Staraptor,Gengar,Skarmory,Gyarados
1007167190,Garchomp,Breloom,Volcarona,Dragonite,Starmie,Scizor,Hydreigon,Tentacruel,Ferrothorn,Keldeo-Resolute,Politoed,Thundurus-Therian
1007178648,Tyranitar,Keldeo,Heatran,Amoonguss,Landorus-Therian,Excadrill,Tyranitar,Garchomp,Magnezone,Amoonguss,Alakazam,Landorus-Therian
1007185463,Tyranitar,Garchomp,Magnezone,Amoonguss,Alakazam,Landorus-Therian,Xatu,Ferrothorn,Rotom-Wash,Latios,Breloom,Weavile
1007536171,Politoed,Keldeo-Resolute,Ferrothorn,Magnezone,Salamence,Excadrill,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1007539397,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Politoed,Keldeo-Resolute,Ferrothorn,Magnezone,Salamence,Excadrill
1008216643,Ferrothorn,Politoed,Rotom-Wash,Toxicroak,Jellicent,Tornadus,Espeon,Scizor,Rotom-Wash,Landorus-Therian,Blissey,Conkeldurr
100893247,Landorus-Therian,Azumarill,Latias,Tyranitar,Breloom,Jirachi,Breloom,Tentacruel,Scizor,Gengar,Gliscor,Sableye
100928181,Scizor,Tentacruel,Politoed,Volcarona,Ferrothorn,Latios,Articuno,Excadrill,Tentacruel,Swampert,Miltank,Alakazam
1009839002,Cofagrigus,Alakazam,Skarmory,Kyurem-Black,Scizor,Reuniclus,Dragonite,Politoed,Scizor,Toxicroak,Ferrothorn,Starmie
1009843719,Tyranitar,Salamence,Excadrill,Milotic,Starmie,Ferrothorn,Cofagrigus,Alakazam,Skarmory,Kyurem-Black,Scizor,Reuniclus
1009968408,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Gengar,Dragonite,Mew,Toxicroak,Skarmory,Scizor
1009976647,Ninetales,Volcarona,Donphan,Jolteon,Dragonite,Gyarados,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1010021662,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Garchomp,Excadrill,Magnezone,Salamence,Jirachi,Keldeo
1010113249,Ninetales,Terrakion,Hydreigon,Heatran,Volcarona,Starmie,Ferrothorn,Dusclops,Cloyster,Dragonite,Espeon,Zapdos
1010333451,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Tyranitar,Landorus-Therian,Latios,Jirachi,Garchomp,Keldeo
101033923,Politoed,Tentacruel,Skarmory,Tangrowth,Chansey,Celebi,Zapdos,Jirachi,Gliscor,Forretress,Tyranitar,Jellicent
1010351563,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Politoed,Gyarados,Tentacruel,Keldeo,Ferrothorn,Thundurus-Therian
1010360021,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Tornadus,Politoed,Jolteon,Ferrothorn,Tentacruel,Landorus-Therian
1010427805,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Salamence,Gengar,Forretress,Snorlax,Latios,Raikou
1010430266,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hydreigon,Latios,Latias,Skarmory,Heatran,Breloom
1010436748,Mamoswine,Lucario,Gyarados,Haxorus,Mew,Uxie,Jellicent,Alakazam,Heatran,Landorus-Therian,Tyranitar,Skarmory
1010457477,Starmie,Metagross,Garchomp,Volcarona,Dragonite,Breloom,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1010614307,Landorus-Therian,Garchomp,Ferrothorn,Hydreigon,Jellicent,Tyranitar,Thundurus-Therian,Keldeo,Latios,Excadrill,Ferrothorn,Politoed
1010624548,Garchomp,Arcanine,Venusaur,Empoleon,Gengar,Weavile,Ferrothorn,Hydreigon,Jellicent,Tyranitar,Heatran,Landorus-Therian
101099103,Tyranitar,Mamoswine,Starmie,Breloom,Landorus-Therian,Heatran,Politoed,Ferrothorn,Landorus-Therian,Latios,Keldeo-Resolute,Scizor
1011179629,Scizor,Togekiss,Scrafty,Starmie,Landorus-Therian,Chandelure,Skarmory,Garchomp,Scizor,Jellicent,Alakazam,Salamence
1011272669,Scizor,Politoed,Tentacruel,Thundurus-Therian,Ferrothorn,Latios,Politoed,Latios,Thundurus-Therian,Starmie,Ferrothorn,Keldeo
1011743201,Lucario,Forretress,Scizor,Gengar,Latios,Keldeo-Resolute,Volcarona,Latios,Thundurus-Therian,Metagross,Tentacruel,Landorus-Therian
1011775530,Hippowdon,Alakazam,Lucario,Jolteon,Gastrodon,Infernape,Skarmory,Gyarados,Hydreigon,Garchomp,Starmie,Gengar
101179801,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Terrakion,Ferrothorn,Chandelure,Jellicent,Riolu,Scizor
1011889096,Alakazam,Garchomp,Gastrodon,Skarmory,Tyranitar,Gengar,Latias,Kyurem-Black,Ferrothorn,Hitmontop,Keldeo-Resolute,Volcarona
101231733,Rotom-Wash,Scizor,Mew,Venusaur,Garchomp,Hydreigon,Magnezone,Dragonite,Starmie,Gliscor,Jirachi,Garchomp
1014368954,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Bronzong,Reuniclus,Victini,Porygon2,Machamp,Alakazam
101544483,Feraligatr,Politoed,Garchomp,Ferrothorn,Tornadus,Alakazam,Politoed,Haxorus,Jolteon,Ferrothorn,Gyarados,Umbreon
101632354,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Politoed,Moltres,Amoonguss,Tentacruel,Jirachi,Tornadus
101635780,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Hippowdon,Roserade,Heatran,Landorus-Therian,Latias,Stoutland
1016985031,Tyranitar,Scizor,Starmie,Breloom,Thundurus-Therian,Lucario,Tyranitar,Landorus-Therian,Heatran,Mew,Breloom,Starmie
101708749,Latios,Lucario,Gengar,Gastrodon,Heatran,Skarmory,Breloom,Terrakion,Skarmory,Latios,Scizor,Landorus-Therian
101718393,Politoed,Chansey,Skarmory,Tentacruel,Celebi,Tangrowth,Jirachi,Breloom,Tyranitar,Jellicent,Suicune,Landorus-Therian
101724423,Politoed,Chansey,Skarmory,Tentacruel,Celebi,Tangrowth,Politoed,Moltres,Amoonguss,Tentacruel,Jirachi,Tornadus
1017763446,Tyranitar,Seismitoad,Latios,Tentacruel,Ferrothorn,Mew,Tyranitar,Landorus-Therian,Heatran,Mew,Breloom,Starmie
1018328634,Breloom,Mamoswine,Politoed,Landorus-Therian,Tentacruel,Jirachi,Tyranitar,Magnezone,Landorus-Therian,Latios,Keldeo,Scizor
101863448,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Breloom,Terrakion,Skarmory,Latios,Scizor,Landorus-Therian
1019303377,Rotom-Wash,Scizor,Mew,Venusaur,Garchomp,Hydreigon,Magnezone,Dragonite,Starmie,Gliscor,Jirachi,Garchomp
101997268,Dragonite,Breloom,Volcarona,Mamoswine,Starmie,Scizor,Politoed,Tentacruel,Ferrothorn,Thundurus-Therian,Dragonite,Scizor
1020429955,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Politoed,Gyarados,Dragonite,Starmie,Excadrill,Ferrothorn
102118607,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Garchomp,Jirachi,Rotom-Wash,Latias,Tyranitar,Scizor
102119974,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Ninetales,Lilligant,Victini,Arcanine,Volcarona,Donphan
1022581114,Politoed,Tentacruel,Ferrothorn,Keldeo-Resolute,Thundurus-Therian,Latios,Politoed,Breloom,Tentacruel,Jirachi,Tornadus,Garchomp
102356768,Aerodactyl,Whimsicott,Mew,Thundurus-Therian,Latios,Empoleon,Politoed,Keldeo-Resolute,Scizor,Tentacruel,Thundurus-Therian,Garchomp
102462129,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Politoed,Landorus-Therian,Ferrothorn,Thundurus-Therian,Tentacruel,Tornadus
102464874,Politoed,Azumarill,Starmie,Scizor,Landorus-Therian,Rotom-Wash,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan
1024768250,Politoed,Thundurus-Therian,Toxicroak,Rotom-Wash,Scizor,Ferrothorn,Tornadus,Politoed,Cloyster,Keldeo-Resolute,Forretress,Terrakion
1024885130,Politoed,Thundurus-Therian,Landorus-Therian,Ferrothorn,Tentacruel,Tornadus,Garchomp,Magnezone,Starmie,Latios,Salamence,Scizor
1026972045,Landorus-Therian,Jirachi,Latios,Rotom-Wash,Tyranitar,Ferrothorn,Tyranitar,Seismitoad,Skarmory,Donphan,Latios,Amoonguss
1026984587,Tyranitar,Seismitoad,Skarmory,Donphan,Latios,Amoonguss,Hippowdon,Gastrodon-East,Skarmory,Excadrill,Jirachi,Sigilyph
102729469,Latias,Forretress,Heatran,Roserade,Vaporeon,Spiritomb,Politoed,Tentacruel,Tangrowth,Jirachi,Moltres,Tornadus
1028150913,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Tyranitar,Latios,Landorus-Therian,Ferrothorn,Alakazam,Excadrill
1028232624,Slaking,Hippowdon,Amoonguss,Excadrill,Alakazam,Hydreigon,Jirachi,Kyurem-Black,Starmie,Magnezone,Dragonite,Garchomp
1028242954,Tyranitar,Landorus-Therian,Heatran,Ferrothorn,Jellicent,Reuniclus,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
102874152,Scizor,Tyranitar,Heatran,Latios,Jirachi,Gliscor,Tyranitar,Landorus-Therian,Stoutland,Rotom-Wash,Scizor,Celebi
1028895575,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Heracross,Celebi,Magneton,Heatran,Golurk,Bronzong
1028984738,Landorus-Therian,Tyranitar,Heatran,Rotom-Wash,Ferrothorn,Mew,Tyranitar,Heatran,Starmie,Breloom,Skarmory,Landorus-Therian
1029042246,Floatzel,Volcarona,Alakazam,Zoroark,Conkeldurr,Ferrothorn,Gliscor,Heatran,Weavile,Jirachi,Keldeo-Resolute,Latios
1029052422,Tyranitar,Landorus-Therian,Heatran,Ferrothorn,Jellicent,Reuniclus,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1029056209,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1029544019,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Tyranitar,Landorus-Therian,Garchomp,Rotom-Wash,Jirachi,Keldeo
1029579200,Politoed,Breloom,Tentacruel,Jirachi,Tornadus,Garchomp,Tyranitar,Magnezone,Terrakion,Latios,Scizor,Landorus-Therian
1029619377,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Scizor,Landorus-Therian,Espeon,Latios,Swampert,Ferrothorn
1029632941,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Politoed,Ferrothorn,Slowbro,Aerodactyl,Toxicroak,Gliscor
1029666284,Amoonguss,Skarmory,Excadrill,Gastrodon,Tyranitar,Volcarona,Politoed,Breloom,Tentacruel,Jirachi,Tornadus,Garchomp
1029671066,Politoed,Ferrothorn,Slowbro,Aerodactyl,Toxicroak,Gliscor,Latios,Garchomp,Dragonite,Kyurem-Black,Salamence,Latias
1030800033,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Politoed,Gliscor,Ferrothorn,Tentacruel,Jirachi,Keldeo-Resolute
1030811444,Mamoswine,Politoed,Gyarados,Starmie,Ferrothorn,Latios,Landorus-Therian,Rotom-Wash,Latios,Jirachi,Breloom,Magnezone
1030842503,Scizor,Tentacruel,Politoed,Volcarona,Ferrothorn,Latios,Articuno,Excadrill,Tentacruel,Swampert,Miltank,Alakazam
1030962192,Politoed,Gyarados,Dragonite,Starmie,Excadrill,Ferrothorn,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1030963249,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Politoed,Breloom,Tentacruel,Jirachi,Tornadus,Garchomp
103175202,Tyranitar,Landorus-Therian,Stoutland,Rotom-Wash,Scizor,Celebi,Infernape,Gengar,Espeon,Ferrothorn,Dragonite,Umbreon
1031759668,Hippowdon,Forretress,Chansey,Jellicent,Quagsire,Xatu,Landorus-Therian,Ferrothorn,Keldeo-Resolute,Heatran,Latios,Tyranitar
103292413,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Skarmory,Garchomp,Scizor,Jellicent,Alakazam,Salamence
1032978915,Landorus-Therian,Tyranitar,Heatran,Rotom-Wash,Ferrothorn,Mew,Garchomp,Alakazam,Tyranitar,Landorus-Therian,Ferrothorn,Latios
1033000109,Azelf,Infernape,Gyarados,Latios,Keldeo-Resolute,Raikou,Garchomp,Breloom,Scizor,Dragonite,Starmie,Volcarona
1033029476,Politoed,Jirachi,Ferrothorn,Tentacruel,Latios,Thundurus-Therian,Dragonite,Politoed,Tentacruel,Ferrothorn,Gliscor,Jellicent
1033301211,Politoed,Latios,Starmie,Jirachi,Tornadus,Excadrill,Garchomp,Breloom,Scizor,Dragonite,Starmie,Volcarona
1033477205,Abomasnow,Kyurem-Black,Alakazam,Forretress,Salamence,Jellicent,Tyranitar,Rotom-Wash,Alakazam,Ferrothorn,Landorus-Therian,Latios
1033539871,Politoed,Toxicroak,Ferrothorn,Tornadus,Keldeo,Garchomp,Politoed,Tornadus,Gastrodon,Jirachi,Landorus-Therian,Azumarill
103365824,Blissey,Dusclops,Vaporeon,Forretress,Hippowdon,Latias,Swampert,Conkeldurr,Latios,Skarmory,Espeon,Salamence
1034044354,Mamoswine,Spiritomb,Conkeldurr,Forretress,Vaporeon,Hydreigon,Espeon,Garchomp,Infernape,Bisharp,Ludicolo,Aerodactyl
1034166254,Tyranitar,Landorus-Therian,Garchomp,Latios,Jirachi,Kingdra,Tornadus,Tentacruel,Politoed,Hydreigon,Ferrothorn,Latios
1034189013,Heatran,Hippowdon,Rotom-Wash,Latias,Mamoswine,Kyurem-Black,Mew,Gengar,Dragonite,Ferrothorn,Tentacruel,Mamoswine
1034227016,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Kyurem,Politoed,Landorus-Therian,Celebi,Tentacruel,Jirachi
1034248681,Togekiss,Uxie,Keldeo,Ferrothorn,Mamoswine,Tentacruel,Politoed,Tentacruel,Chansey,Quagsire,Dragonite,Skarmory
1034271545,Hippowdon,Gastrodon-East,Skarmory,Excadrill,Jirachi,Sigilyph,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1035216434,Ninetales,Darmanitan,Victreebel,Shiftry,Forretress,Raikou,Dragonite,Mamoswine,Starmie,Scizor,Gengar,Skarmory
1035224593,Tyranitar,Mamoswine,Starmie,Breloom,Landorus-Therian,Heatran,Politoed,Ferrothorn,Landorus-Therian,Latios,Keldeo-Resolute,Scizor
1035238219,Tyranitar,Rotom-Wash,Excadrill,Landorus-Therian,Alakazam,Ferrothorn,Dragonite,Politoed,Tentacruel,Ferrothorn,Gliscor,Jellicent
1035296059,Tyranitar,Landorus-Therian,Skarmory,Jirachi,Reuniclus,Latias,Tyranitar,Garchomp,Rotom-Wash,Volcarona,Starmie,Latios
1035535002,Abomasnow,Ditto,Liepard,Gengar,Mew,Riolu,Tyranitar,Mamoswine,Starmie,Breloom,Landorus-Therian,Heatran
1035775814,Ninetales,Excadrill,Gliscor,Heatran,Starmie,Volcarona,Tyranitar,Mamoswine,Starmie,Breloom,Landorus-Therian,Heatran
1035870585,Ninetales,Arcanine,Breloom,Tentacruel,Gliscor,Ferrothorn,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1035915310,Politoed,Thundurus-Therian,Tentacruel,Tornadus,Ferrothorn,Scizor,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor
1036014002,Alakazam,Landorus-Therian,Scizor,Keldeo,Tyranitar,Garchomp,Magnezone,Weavile,Latios,Keldeo-Resolute,Latias,Mamoswine
103615591,Infernape,Conkeldurr,Tyranitar,Jellicent,Bronzong,Reuniclus,Dragonite,Cloyster,Excadrill,Xatu,Volcarona,Scizor
1036217617,Tyranitar,Reuniclus,Ferrothorn,Jellicent,Heatran,Latias,Tyranitar,Ferrothorn,Swampert,Garchomp,Scizor,Latias
1036231878,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Skarmory,Garchomp,Scizor,Jellicent,Alakazam,Salamence
1036238036,Hippowdon,Ferrothorn,Jellicent,Latios,Heatran,Alakazam,Tyranitar,Heatran,Landorus-Therian,Ferrothorn,Jellicent,Alakazam
1036344140,Politoed,Gyarados,Scizor,Garchomp,Jirachi,Forretress,Azumarill,Politoed,Jellicent,Ferrothorn,Azelf,Starmie
103647682,Espeon,Hydreigon,Dugtrio,Skarmory,Jellicent,Terrakion,Victini,Infernape,Rotom-Heat,Charizard,Heatran,Ninetales
1036723235,Thundurus-Therian,Landorus-Therian,Alakazam,Espeon,Starmie,Ferrothorn,Tyranitar,Magnezone,Terrakion,Latios,Scizor,Landorus-Therian
1036751249,Tyranitar,Magnezone,Terrakion,Latios,Scizor,Landorus-Therian,Mamoswine,Cloyster,Lucario,Gyarados,Mew,Uxie
1036926285,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Tornadus,Politoed,Tentacruel,Ferrothorn,Garchomp,Jellicent
1036970629,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hitmontop,Gengar,Cloyster,Dragonite,Blissey,Magnezone
1037605751,Mamoswine,Politoed,Gyarados,Starmie,Ferrothorn,Latios,Sharpedo,Latios,Politoed,Ferrothorn,Tornadus,Starmie
1037614488,Scizor,Rotom-Wash,Landorus-Therian,Ferrothorn,Heatran,Starmie,Tyranitar,Landorus-Therian,Garchomp,Rotom-Wash,Jirachi,Keldeo-Resolute
1037758394,Politoed,Ferrothorn,Tentacruel,Thundurus-Therian,Garchomp,Latios,Tyranitar,Skarmory,Gliscor,Starmie,Amoonguss,Garchomp
1037936944,Landorus-Therian,Sandslash,Tyranitar,Jellicent,Scizor,Roserade,Breloom,Tentacruel,Politoed,Shaymin,Jirachi,Tyranitar
1038894037,Terrakion,Politoed,Jirachi,Tornadus,Keldeo-Resolute,Latios,Dragonite,Victini,Togekiss,Alakazam,Ferrothorn,Keldeo-Resolute
1039228620,Porygon2,Tyranitar,Magnezone,Reuniclus,Skarmory,Starmie,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone
1039278739,Heatran,Roserade,Rotom-Wash,Keldeo,Latias,Alakazam,Tyranitar,Landorus-Therian,Garchomp,Rotom-Wash,Jirachi,Keldeo-Resolute
103930077,Politoed,Azelf,Starmie,Breloom,Scizor,Garchomp,Ninetales,Darmanitan,Victreebel,Shiftry,Forretress,Raikou
1039367252,Terrakion,Politoed,Jirachi,Tornadus,Keldeo-Resolute,Latios,Politoed,Amoonguss,Salamence,Bronzong,Tentacruel,Ferrothorn
1039510424,Politoed,Gliscor,Ferrothorn,Tentacruel,Jirachi,Keldeo-Resolute,Tyranitar,Rotom-Wash,Alakazam,Ferrothorn,Landorus-Therian,Latios
1040043184,Lucario,Forretress,Scizor,Gengar,Latios,Keldeo-Resolute,Volcarona,Latios,Thundurus-Therian,Metagross,Tentacruel,Landorus-Therian
1040287118,Magnezone,Mamoswine,Dragonite,Latios,Scizor,Salamence,Lucario,Forretress,Scizor,Gengar,Latios,Keldeo-Resolute
1040333068,Tyranitar,Rotom-Wash,Alakazam,Ferrothorn,Landorus-Therian,Latios,Terrakion,Politoed,Jirachi,Tornadus,Keldeo-Resolute,Latios
1040464219,Politoed,Vaporeon,Celebi,Ferrothorn,Latios,Jirachi,Breloom,Gliscor,Heatran,Jellicent,Hydreigon,Hitmontop
1040560302,Alakazam,Garchomp,Ferrothorn,Tyranitar,Latios,Rotom-Wash,Absol,Gyarados,Ferrothorn,Victini,Claydol,Tentacruel
1041025617,Keldeo,Jirachi,Politoed,Landorus-Therian,Toxicroak,Latios,Abomasnow,Landorus-Therian,Latios,Starmie,Jirachi,Volcarona
1041034316,Azelf,Hydreigon,Metagross,Salamence,Jellicent,Tyranitar,Lucario,Forretress,Scizor,Gengar,Latios,Keldeo-Resolute
1041134531,Tyranitar,Landorus-Therian,Garchomp,Rotom-Wash,Jirachi,Keldeo-Resolute,Raikou,Gengar,Excadrill,Seismitoad,Zapdos,Heatran
1041183485,Scizor,Magnezone,Landorus-Therian,Starmie,Dragonite,Garchomp,Lucario,Forretress,Scizor,Gengar,Latios,Keldeo-Resolute
1041236174,Azelf,Garchomp,Breloom,Scizor,Dragonite,Salamence,Tyranitar,Latios,Keldeo,Landorus-Therian,Garchomp,Jirachi
1041240726,Scizor,Heatran,Landorus-Therian,Espeon,Vaporeon,Lanturn,Darmanitan,Breloom,Tyranitar,Skarmory,Tentacruel,Latios
1041258309,Hippowdon,Gastrodon-East,Skarmory,Excadrill,Jirachi,Sigilyph,Landorus-Therian,Tyranitar,Latios,Rotom-Wash,Jirachi,Ferrothorn
1041513380,Ferrothorn,Politoed,Rotom-Wash,Toxicroak,Jellicent,Tornadus,Espeon,Scizor,Rotom-Wash,Landorus-Therian,Blissey,Conkeldurr
1041528149,Espeon,Scizor,Rotom-Wash,Landorus-Therian,Blissey,Conkeldurr,Tyranitar,Landorus-Therian,Slowking,Excadrill,Salamence,Terrakion
1041539261,Politoed,Thundurus-Therian,Toxicroak,Rotom-Wash,Scizor,Ferrothorn,Tornadus,Politoed,Cloyster,Keldeo-Resolute,Forretress,Terrakion
1041553935,Tyranitar,Keldeo-Resolute,Jirachi,Landorus-Therian,Latios,Breloom,Azelf,Garchomp,Breloom,Scizor,Dragonite,Salamence
1041564431,Volcarona,Latios,Thundurus-Therian,Metagross,Tentacruel,Landorus-Therian,Azelf,Garchomp,Breloom,Scizor,Dragonite,Salamence
1041626645,Politoed,Thundurus-Therian,Toxicroak,Rotom-Wash,Scizor,Ferrothorn,Tyranitar,Heatran,Landorus-Therian,Ferrothorn,Jellicent,Alakazam
