Tag,Player,Elo,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,LeadPokemon,TurnCount,Result,Pokemon 1 Move 1,Pokemon 1 Move 2,Pokemon 1 Move 3,Pokemon 1 Move 4,Pokemon 2 Move 1,Pokemon 2 Move 2,Pokemon 2 Move 3,Pokemon 2 Move 4,Pokemon 3 Move 1,Pokemon 3 Move 2,Pokemon 3 Move 3,Pokemon 3 Move 4,Pokemon 4 Move 1,Pokemon 4 Move 2,Pokemon 4 Move 3,Pokemon 4 Move 4,Pokemon 5 Move 1,Pokemon 5 Move 2,Pokemon 5 Move 3,Pokemon 5 Move 4,Pokemon 6 Move 1,Pokemon 6 Move 2,Pokemon 6 Move 3,Pokemon 6 Move 4,Weather-Rain,Weather-Sand
100419815,LittlePichu:3,1351,Ninetales,Milotic,Togekiss,Zoroark,Garchomp,Glaceon,Ninetales,18,lose,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1004651431,Sword8laze,1342,Bronzong,Jellicent,Reuniclus,Breloom,Tyranitar,Torkoal,Torkoal,46,lose,Explosion,Trick Room,Gyro Ball,None,Shadow Ball,Trick Room,Scald,None,Psyshock,Shadow Ball,Focus Blast,Trick Room,Mach Punch,None,None,None,Crunch,Superpower,Pursuit,None,Stealth Rock,Yawn,None,None,0,0
1004655951,WaterLeau,1510,Alakazam,Garchomp,Gastrodon,Skarmory,Tyranitar,Gengar,Gastrodon,36,win,Focus Blast,Encore,None,None,Stealth Rock,Earthquake,Dragon Tail,None,Earthquake,Ice Beam,Toxic,Recover,Brave Bird,None,None,None,Crunch,Ice Beam,None,None,Shadow Ball,Substitute,None,None,1,0
1005184570,initialoffense,1478,Tyranitar,Alakazam,Breloom,Hydreigon,Landorus-Therian,Scizor,Breloom,15,lose,Stealth Rock,Fire Blast,None,None,None,None,None,None,Spore,Protect,None,None,Dark Pulse,None,None,None,Stone Edge,Swords Dance,Earthquake,None,Bullet Punch,None,None,None,1,0
100529510,Sage Hane,1276,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Cloyster,5,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1006337862,fdsfsdfsdsdfdfsdf,1502,Alakazam,Hydreigon,Landorus-Therian,Ferrothorn,Amoonguss,Tyranitar,Landorus-Therian,34,win,Psychic,Focus Blast,Signal Beam,None,Surf,None,None,None,U-turn,Superpower,None,None,Spikes,Protect,Leech Seed,None,Giga Drain,Spore,None,None,Superpower,Stealth Rock,None,None,1,0
1006510055,doughboy,1534,Abomasnow,Kyurem-Black,Magnezone,Gliscor,Dragonite,Forretress,Forretress,44,lose,Blizzard,None,None,None,Blizzard,None,None,None,Thunderbolt,None,None,None,Baton Pass,Substitute,Earthquake,Protect,Dragon Dance,Dragon Claw,Roost,None,Toxic Spikes,Gyro Ball,Rapid Spin,Stealth Rock,0,0
1006635862,blackkaiser,1485,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,19,win,Stealth Rock,Earthquake,None,None,Spikes,None,None,None,Shadow Ball,None,None,None,Trick,Surf,None,None,Draco Meteor,Earthquake,None,None,Bullet Punch,U-turn,None,None,0,0
1006707735,Pilif,1419,Latios,Salamence,Jellicent,Ferrothorn,Hitmontop,Gliscor,Latios,34,lose,Trick,Draco Meteor,None,None,Outrage,None,None,None,Taunt,Recover,Will-O-Wisp,Hex,Stealth Rock,None,None,None,Rock Slide,Rapid Spin,None,None,Earthquake,Protect,Toxic,None,0,0
100672841,JeT´aimeYS,1484,Breloom,Latios,Terrakion,Tyranitar,Keldeo,Scizor,Latios,26,lose,None,None,None,None,Draco Meteor,Hidden Power,Psyshock,Surf,Stone Edge,Swords Dance,None,None,Pursuit,None,None,None,Hydro Pump,Secret Sword,None,None,Bug Bite,Bullet Punch,Swords Dance,None,0,0
1006890791,BUMBACLAAT,1474,Rotom-Wash,Landorus-Therian,Heracross,Latios,Tyranitar,Skarmory,Heracross,13,win,Volt Switch,None,None,None,None,None,None,None,None,None,None,None,Trick,None,None,None,None,None,None,None,Whirlwind,Spikes,None,None,1,0
1006925191,Chellison,1315,Hippowdon,Forretress,Jellicent,Roserade,Jirachi,Gliscor,Hippowdon,42,lose,Stealth Rock,Ice Fang,Slack Off,None,Spikes,Rapid Spin,Volt Switch,None,Taunt,Shadow Ball,Will-O-Wisp,None,Giga Drain,Hidden Power,None,None,U-turn,Ice Punch,None,None,Swords Dance,Acrobatics,None,None,0,0
1007167190,mellrrowe,1275,Garchomp,Breloom,Volcarona,Dragonite,Starmie,Scizor,Breloom,25,win,Stealth Rock,Fire Blast,None,None,Stun Spore,Mach Punch,Bullet Seed,None,Fire Blast,Giga Drain,Quiver Dance,None,Extreme Speed,None,None,None,Rapid Spin,Thunder,None,None,U-turn,None,None,None,0,0
1007178648,initialoffense,1466,Tyranitar,Keldeo,Heatran,Amoonguss,Landorus-Therian,Excadrill,Amoonguss,21,lose,Crunch,Pursuit,Stealth Rock,None,Scald,None,None,None,None,None,None,None,Giga Drain,Spore,Hidden Power,None,Hidden Power,None,None,None,Rapid Spin,None,None,None,1,0
1007185463,gfgfdhdh,1344,Tyranitar,Garchomp,Magnezone,Amoonguss,Alakazam,Landorus-Therian,Tyranitar,19,win,Superpower,Pursuit,None,None,Fire Blast,None,None,None,Volt Switch,None,None,None,Sludge Bomb,Spore,None,None,Shadow Ball,None,None,None,U-turn,None,None,None,1,0
1007536171,Samurott7777777,1327,Politoed,Keldeo-Resolute,Ferrothorn,Magnezone,Salamence,Excadrill,Magnezone,31,lose,Hypnosis,Perish Song,None,None,Hidden Power,Surf,None,None,Stealth Rock,Power Whip,Leech Seed,Thunder Wave,Hidden Power,Substitute,None,None,None,None,None,None,Earthquake,None,None,None,0,0
1007539397,blackkaiser,1364,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Latios,19,win,Stealth Rock,None,None,None,Spikes,Thunder Wave,None,None,None,None,None,None,Trick,Draco Meteor,Surf,Psyshock,Earthquake,None,None,None,None,None,None,None,0,0
1008216643,MP58,1326,Ferrothorn,Politoed,Rotom-Wash,Toxicroak,Jellicent,Tornadus,Ferrothorn,49,lose,Spikes,Protect,Leech Seed,Gyro Ball,Scald,Toxic,Encore,Protect,Thunder,Hydro Pump,Trick,Volt Switch,Bulk Up,None,None,None,Toxic,Scald,None,None,Hurricane,None,None,None,0,0
100893247,iowna360x,1352,Landorus-Therian,Azumarill,Latias,Tyranitar,Breloom,Jirachi,Landorus-Therian,28,lose,Earthquake,Stealth Rock,U-turn,None,Aqua Jet,None,None,None,Toxic,Hidden Power,None,None,None,None,None,None,Spore,Leech Seed,None,None,U-turn,Iron Head,Ice Punch,Trick,1,0
100928181,i lose evrytiem,1376,Scizor,Tentacruel,Politoed,Volcarona,Ferrothorn,Latios,Politoed,22,lose,Bullet Punch,U-turn,Swords Dance,None,Toxic,Rapid Spin,Protect,None,Hydro Pump,None,None,None,None,None,None,None,Bulldoze,None,None,None,Draco Meteor,Dragon Dance,Outrage,None,0,1
1009839002,space bound monkey,1368,Cofagrigus,Alakazam,Skarmory,Kyurem-Black,Scizor,Reuniclus,Skarmory,20,win,None,None,None,None,Psychic,Shadow Ball,Hidden Power,None,Stealth Rock,Spikes,None,None,Ice Beam,Fusion Bolt,Substitute,None,Bug Bite,None,None,None,None,None,None,None,0,0
1009843719,Icequake,1452,Tyranitar,Salamence,Excadrill,Milotic,Starmie,Ferrothorn,Milotic,27,lose,None,None,None,None,None,None,None,None,Swords Dance,Earthquake,Protect,Iron Head,Scald,Hypnosis,Recover,None,Thunder Wave,None,None,None,None,None,None,None,0,0
1009968408,blackkaiser,1307,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Latios,26,win,Stealth Rock,Roar,Earthquake,Slack Off,None,None,None,None,Shadow Ball,Will-O-Wisp,None,None,Trick,Draco Meteor,Surf,None,None,None,None,None,Bullet Punch,None,None,None,0,0
1009976647,SkAm NEwToN,1382,Ninetales,Volcarona,Donphan,Jolteon,Dragonite,Gyarados,Donphan,23,lose,Will-O-Wisp,None,None,None,Fiery Dance,None,None,None,Rapid Spin,Stone Edge,Stealth Rock,None,Hidden Power,None,None,None,Outrage,None,None,None,Bounce,Dragon Dance,Earthquake,None,0,0
1010021662,blackkaiser,1399,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,35,win,Stealth Rock,Roar,Earthquake,Slack Off,Spikes,Power Whip,None,None,Will-O-Wisp,None,None,None,Draco Meteor,Surf,None,None,Draco Meteor,Earthquake,None,None,Bullet Punch,None,None,None,0,0
1010113249,Spritzalcianuro96,1419,Ninetales,Terrakion,Hydreigon,Heatran,Volcarona,Starmie,Terrakion,15,win,None,None,None,None,Taunt,Stone Edge,None,None,Roost,Dark Pulse,Taunt,None,Overheat,None,None,None,None,None,None,None,None,None,None,None,0,0
1010333451,blackkaiser,1398,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,17,win,Stealth Rock,Roar,Earthquake,None,Spikes,Leech Seed,None,None,Recover,Will-O-Wisp,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
101033923,ŝhofư,1378,Politoed,Tentacruel,Skarmory,Tangrowth,Chansey,Celebi,Politoed,48,win,Encore,Protect,None,None,Scald,Toxic,Rapid Spin,Protect,Roost,Spikes,Taunt,None,Focus Blast,Hidden Power,Sleep Powder,Giga Drain,Seismic Toss,Stealth Rock,Soft-Boiled,Aromatherapy,None,None,None,None,0,1
1010351563,Spritzalcianuro96,1488,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,25,win,Stealth Rock,None,None,None,Psyshock,None,None,None,Quick Attack,None,None,None,Fusion Bolt,Outrage,None,None,Outrage,None,None,None,Hidden Power,Flash Cannon,None,None,0,0
1010360021,Spritzalcianuro96,1476,Mamoswine,Latios,Scizor,Kyurem-Black,Salamence,Magnezone,Mamoswine,32,win,Earthquake,Stealth Rock,None,None,Draco Meteor,Psyshock,None,None,Bullet Punch,U-turn,Quick Attack,None,Outrage,None,None,None,Outrage,None,None,None,Hidden Power,Flash Cannon,Thunderbolt,None,0,0
1010427805,blackkaiser,1410,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,18,win,Stealth Rock,None,None,None,Spikes,Thunder Wave,None,None,Shadow Ball,None,None,None,Surf,None,None,None,None,None,None,None,Pursuit,Bullet Punch,None,None,0,0
1010430266,blackkaiser,1436,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Latios,31,win,Stealth Rock,Roar,None,None,Spikes,Power Whip,Thunder Wave,None,None,None,None,None,Trick,Draco Meteor,Psyshock,Surf,Draco Meteor,Fire Blast,None,None,U-turn,Bullet Punch,None,None,0,0
1010436748,gamerno1,1464,Mamoswine,Lucario,Gyarados,Haxorus,Mew,Uxie,Mew,30,win,Earthquake,Icicle Crash,Ice Shard,None,None,None,None,None,Dragon Dance,Waterfall,None,None,Superpower,Dragon Dance,Dragon Claw,None,Stealth Rock,Light Screen,Taunt,Reflect,Thunder Wave,Reflect,Light Screen,None,0,0
1010457477,doughboy,1473,Starmie,Metagross,Garchomp,Volcarona,Dragonite,Breloom,Starmie,25,lose,Rapid Spin,Trick,None,None,Psychic,Hidden Power,Pursuit,None,Earthquake,None,None,None,None,None,None,None,None,None,None,None,Spore,Bullet Seed,Focus Punch,None,0,0
1010614307,Spritzalcianuro96,1399,Landorus-Therian,Garchomp,Ferrothorn,Hydreigon,Jellicent,Tyranitar,Hydreigon,67,win,Earthquake,Stealth Rock,None,None,Outrage,Stone Edge,None,None,Spikes,Power Whip,Leech Seed,None,Superpower,Draco Meteor,Roost,Flamethrower,Recover,Will-O-Wisp,Scald,None,Pursuit,None,None,None,1,0
1010624548,Manolo1978,1337,Garchomp,Arcanine,Venusaur,Empoleon,Gengar,Weavile,Gengar,18,lose,Outrage,Fire Fang,None,None,Flare Blitz,None,None,None,Swords Dance,None,None,None,Hidden Power,Surf,None,None,None,None,None,None,None,None,None,None,0,0
101099103,do a flip99,1343,Tyranitar,Mamoswine,Starmie,Breloom,Landorus-Therian,Heatran,Breloom,19,lose,None,None,None,None,None,None,None,None,Scald,None,None,None,Bulk Up,Protect,None,None,None,None,None,None,Toxic,Protect,None,None,1,0
1011179629,Gh0stp3pper,1332,Scizor,Togekiss,Scrafty,Starmie,Landorus-Therian,Chandelure,Starmie,22,lose,Pursuit,Bullet Punch,U-turn,None,None,None,None,None,Dragon Dance,Drain Punch,Crunch,None,Scald,Psyshock,Ice Beam,None,Stealth Rock,None,None,None,Fire Blast,None,None,None,0,0
1011272669,hf losing,1589,Scizor,Politoed,Tentacruel,Thundurus-Therian,Ferrothorn,Latios,Thundurus-Therian,40,win,Bullet Punch,None,None,None,Scald,Toxic,Protect,None,Scald,Rapid Spin,None,None,Thunder,Focus Blast,Substitute,None,Stealth Rock,Power Whip,None,None,Draco Meteor,Thunder,None,None,0,1
1011743201,sankafola,1428,Lucario,Forretress,Scizor,Gengar,Latios,Keldeo-Resolute,Forretress,22,win,None,None,None,None,Stealth Rock,None,None,None,None,None,None,None,Shadow Ball,Substitute,Disable,None,Draco Meteor,Psyshock,None,None,Hidden Power,Surf,None,None,0,0
1011775530,Puke,1395,Hippowdon,Alakazam,Lucario,Jolteon,Gastrodon,Infernape,Jolteon,24,lose,Stealth Rock,Slack Off,Toxic,None,Psyshock,Shadow Ball,Focus Blast,None,Close Combat,Swords Dance,None,None,Hidden Power,None,None,None,Scald,Ice Beam,Earth Power,None,U-turn,Flare Blitz,None,None,0,0
101179801,Pythagorean Python,1441,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Hippowdon,36,win,Roost,Whirlwind,Spikes,None,Soft-Boiled,Thunder Wave,None,None,Stealth Rock,Earthquake,Slack Off,None,Psychic,None,None,None,Earthquake,None,None,None,None,None,None,None,0,0
1011889096,Machine Gun Dragon,1502,Alakazam,Garchomp,Gastrodon,Skarmory,Tyranitar,Gengar,Alakazam,14,win,Focus Blast,None,None,None,Stealth Rock,Earthquake,Fire Blast,Dragon Tail,None,None,None,None,None,None,None,None,Pursuit,None,None,None,None,None,None,None,1,0
101231733,SkAm NEwToN,1418,Rotom-Wash,Scizor,Mew,Venusaur,Garchomp,Hydreigon,Mew,29,lose,Protect,Hydro Pump,Will-O-Wisp,None,Bullet Punch,None,None,None,U-turn,Will-O-Wisp,None,None,Earthquake,Giga Drain,Toxic,None,Stealth Rock,Earthquake,Dragon Claw,Swords Dance,Draco Meteor,Dark Pulse,None,None,0,0
1014368954,blackkaiser,1485,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,19,win,Stealth Rock,Earthquake,None,None,Spikes,None,None,None,Shadow Ball,None,None,None,Trick,Surf,None,None,Draco Meteor,Earthquake,None,None,Bullet Punch,U-turn,None,None,0,0
101544483,kid emulation,1436,Feraligatr,Politoed,Garchomp,Ferrothorn,Tornadus,Alakazam,Garchomp,27,lose,Waterfall,Aqua Jet,Swords Dance,None,Ice Beam,None,None,None,Stealth Rock,None,None,None,Spikes,Power Whip,Gyro Ball,None,Tailwind,Hurricane,Focus Blast,None,None,None,None,None,0,0
101632354,Pythagorean Python,1403,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Starmie,28,win,Drill Peck,None,None,None,Seismic Toss,Soft-Boiled,Thunder Wave,None,Earthquake,None,None,None,Psychic,None,None,None,None,None,None,None,Thunderbolt,Hydro Pump,None,None,0,0
101635780,Pythagorean Python,1433,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Starmie,23,win,Spikes,None,None,None,Seismic Toss,Thunder Wave,None,None,Stealth Rock,Earthquake,None,None,Psychic,Focus Blast,Signal Beam,None,None,None,None,None,Ice Beam,Hydro Pump,None,None,0,0
1016985031,nx3 sobcay,1416,Tyranitar,Scizor,Starmie,Breloom,Thundurus-Therian,Lucario,Breloom,29,lose,Stone Edge,Pursuit,Stealth Rock,None,Bullet Punch,None,None,None,Scald,Psyshock,None,None,Focus Punch,Spore,Mach Punch,Bullet Seed,Agility,Thunderbolt,Focus Blast,None,Extreme Speed,Ice Punch,Swords Dance,None,0,0
101708749,WeForneMon,1660,Latios,Lucario,Gengar,Gastrodon,Heatran,Skarmory,None,0,lose,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
101718393,Śhofũ,1418,Politoed,Chansey,Skarmory,Tentacruel,Celebi,Tangrowth,Chansey,98,win,Scald,Toxic,Encore,Protect,Stealth Rock,Seismic Toss,Aromatherapy,None,Spikes,None,None,None,Scald,Protect,Rapid Spin,None,Baton Pass,Perish Song,Psychic,Recover,Focus Blast,Hidden Power,Giga Drain,None,0,1
101724423,Śhofũ,1434,Politoed,Chansey,Skarmory,Tentacruel,Celebi,Tangrowth,Chansey,148,win,Scald,Encore,Protect,None,Stealth Rock,Seismic Toss,Soft-Boiled,Aromatherapy,Roost,Whirlwind,None,None,Scald,Rapid Spin,Protect,None,Baton Pass,Perish Song,Psychic,None,Hidden Power,Sleep Powder,None,None,0,1
1017763446,The Daisuke,1446,Tyranitar,Seismitoad,Latios,Tentacruel,Ferrothorn,Mew,Mew,32,lose,Superpower,Pursuit,None,None,Scald,None,None,None,Trick,None,None,None,Scald,Rapid Spin,None,None,Stealth Rock,Leech Seed,None,None,Taunt,Will-O-Wisp,None,None,0,0
1018328634,dice,1400,Breloom,Mamoswine,Politoed,Landorus-Therian,Tentacruel,Jirachi,Breloom,41,win,Drain Punch,Protect,None,None,Superpower,None,None,None,Protect,Scald,Hypnosis,None,U-turn,None,None,None,Scald,Protect,None,None,U-turn,Stealth Rock,None,None,0,1
101863448,Pythagorean Python,1427,Skarmory,Blissey,Hippowdon,Alakazam,Terrakion,Starmie,Alakazam,14,lose,Drill Peck,None,None,None,Thunder Wave,None,None,None,None,None,None,None,Hidden Power,None,None,None,None,None,None,None,Ice Beam,Hydro Pump,None,None,0,0
1019303377,SkAm NEwToN,1418,Rotom-Wash,Scizor,Mew,Venusaur,Garchomp,Hydreigon,Mew,29,lose,Protect,Hydro Pump,Will-O-Wisp,None,Bullet Punch,None,None,None,U-turn,Will-O-Wisp,None,None,Earthquake,Giga Drain,Toxic,None,Stealth Rock,Earthquake,Dragon Claw,Swords Dance,Draco Meteor,Dark Pulse,None,None,0,0
101997268,arm94,1400,Dragonite,Breloom,Volcarona,Mamoswine,Starmie,Scizor,Breloom,22,lose,Dragon Dance,Extreme Speed,None,None,Spore,Swords Dance,None,None,Bug Buzz,None,None,None,Earthquake,Stealth Rock,None,None,Rapid Spin,Psychic,Thunderbolt,Hail,Bullet Punch,Swords Dance,None,None,0,0
1020429955,blackkaiser,1502,Hippowdon,Ferrothorn,Jellicent,Latios,Garchomp,Scizor,Hippowdon,22,lose,Stealth Rock,None,None,None,Spikes,Thunder Wave,None,None,Will-O-Wisp,None,None,None,Trick,None,None,None,Fire Blast,None,None,None,U-turn,None,None,None,0,0
102118607,Sage Hane,1382,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Garchomp,27,lose,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
102119974,Sage Hane,1366,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Dragonite,36,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
1022581114,NMemories,1338,Politoed,Tentacruel,Ferrothorn,Keldeo-Resolute,Thundurus-Therian,Latios,Thundurus-Therian,26,lose,None,None,None,None,Scald,Toxic,Protect,None,Spikes,None,None,None,Surf,None,None,None,Thunder,Substitute,None,None,Draco Meteor,None,None,None,0,1
102356768,Nalorium,1377,Aerodactyl,Whimsicott,Mew,Thundurus-Therian,Latios,Empoleon,Aerodactyl,14,win,Stealth Rock,None,None,None,None,None,None,None,Calm Mind,Barrier,Baton Pass,None,None,None,None,None,Memento,Reflect,Light Screen,None,Agility,Surf,None,None,0,0
102462129,Sage Hane,1383,Chansey,Wobbuffet,Cloyster,Garchomp,Dragonite,Donphan,Wobbuffet,12,win,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0,0
